BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
20230216,2023,2,16,11,서울,0.0,0.0,1840.0,0.0,0.0,1840.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230216,2023,2,16,27,대구,0.0,0.0,1218.0,0.0,0.0,1218.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230217,2023,2,17,41,경기,0.0,0.0,2373.0,0.0,0.0,2373.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230217,2023,2,17,48,경남,0.0,0.0,2630.0,0.0,0.0,2630.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230218,2023,2,18,11,서울,0.0,0.0,2041.0,0.0,0.0,2041.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230218,2023,2,18,31,울산,0.0,0.0,2486.0,0.0,0.0,2486.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230218,2023,2,18,42,강원,0.0,0.0,2202.0,0.0,0.0,2202.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230219,2023,2,19,11,서울,0.0,0.0,5271.0,0.0,0.0,5271.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230219,2023,2,19,27,대구,0.0,0.0,2313.0,0.0,0.0,2313.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230219,2023,2,19,41,경기,0.0,0.0,3742.0,0.0,0.0,3742.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230223,2023,2,23,45,전북,0.0,0.0,2714.0,0.0,0.0,2714.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230225,2023,2,25,11,서울,22204.0,0.0,0.0,0.0,0.0,22204.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230225,2023,2,25,31,울산,28039.0,0.0,0.0,0.0,0.0,28039.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230225,2023,2,25,41,경기,10348.0,0.0,0.0,0.0,0.0,10348.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230225,2023,2,25,42,강원,0.0,0.0,2155.0,0.0,0.0,2155.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230226,2023,2,26,30,대전,18590.0,0.0,0.0,0.0,0.0,18590.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230226,2023,2,26,41,경기,0.0,0.0,3856.0,0.0,0.0,3856.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230226,2023,2,26,47,경북,14089.0,0.0,0.0,0.0,0.0,14089.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230226,2023,2,26,50,제주,8362.0,0.0,0.0,0.0,0.0,8362.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230301,2023,3,1,11,서울,4247.0,0.0,0.0,0.0,0.0,4247.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230301,2023,3,1,27,대구,0.0,0.0,2035.0,0.0,0.0,2035.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230301,2023,3,1,41,경기,2411.0,0.0,2410.0,0.0,0.0,4821.0,1.0,0.0,1.0,0.0,0.0,2.0,20250721,20250721
20230301,2023,3,1,44,충남,7721.0,0.0,0.0,0.0,0.0,7721.0,2.0,0.0,0.0,0.0,0.0,2.0,20250721,20250721
20230301,2023,3,1,45,전북,0.0,0.0,3534.0,0.0,0.0,3534.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230301,2023,3,1,46,전남,4890.0,0.0,0.0,0.0,0.0,4890.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230301,2023,3,1,48,경남,3134.0,0.0,0.0,0.0,0.0,3134.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230302,2023,3,2,31,울산,0.0,0.0,1109.0,0.0,0.0,1109.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230304,2023,3,4,11,서울,0.0,0.0,2481.0,0.0,0.0,2481.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230304,2023,3,4,27,대구,10851.0,0.0,0.0,0.0,0.0,10851.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230304,2023,3,4,28,인천,10011.0,0.0,0.0,0.0,0.0,10011.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230304,2023,3,4,41,경기,14362.0,0.0,3128.0,0.0,0.0,17490.0,3.0,0.0,1.0,0.0,0.0,4.0,20250721,20250721
20230304,2023,3,4,42,강원,0.0,0.0,1508.0,0.0,0.0,1508.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230304,2023,3,4,43,충북,7035.0,0.0,0.0,0.0,0.0,7035.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230304,2023,3,4,48,경남,0.0,0.0,3844.0,0.0,0.0,3844.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230305,2023,3,5,29,광주,7357.0,0.0,0.0,0.0,0.0,7357.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230305,2023,3,5,41,경기,7167.0,0.0,0.0,0.0,0.0,7167.0,2.0,0.0,0.0,0.0,0.0,2.0,20250721,20250721
20230305,2023,3,5,42,강원,6199.0,0.0,0.0,0.0,0.0,6199.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
