"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
1495,"20250503","2025","05","03",KBO,정규리그,삼성,두산,대구,24000.00000,"20250715","20250715"
1496,"20250503","2025","05","03",KBO,정규리그,LG,SSG,잠실,23750.00000,"20250715","20250715"
1497,"20250503","2025","05","03",KBO,정규리그,KT,키움,수원,15210.00000,"20250715","20250715"
1498,"20250504","2025","05","04",KBO,정규리그,KIA,한화,광주,20500.00000,"20250715","20250715"
1499,"20250504","2025","05","04",KBO,정규리그,롯데,NC,사직,22669.00000,"20250715","20250715"
1500,"20250504","2025","05","04",KBO,정규리그,삼성,두산,대구,24000.00000,"20250715","20250715"
1501,"20250504","2025","05","04",KBO,정규리그,LG,SSG,잠실,23750.00000,"20250715","20250715"
1502,"20250504","2025","05","04",KBO,정규리그,KT,키움,수원,15160.00000,"20250715","20250715"
1503,"20250505","2025","05","05",KBO,정규리그,키움,KIA,고척,16000.00000,"20250715","20250715"
1504,"20250505","2025","05","05",KBO,정규리그,두산,LG,잠실,23750.00000,"20250715","20250715"
1505,"20250505","2025","05","05",KBO,정규리그,KT,NC,수원,12015.00000,"20250715","20250715"
1506,"20250505","2025","05","05",KBO,정규리그,롯데,SSG,사직,22669.00000,"20250715","20250715"
1507,"20250505","2025","05","05",KBO,정규리그,한화,삼성,대전(신),17000.00000,"20250715","20250715"
1508,"20250506","2025","05","06",KBO,정규리그,키움,KIA,고척,16000.00000,"20250715","20250715"
1509,"20250506","2025","05","06",KBO,정규리그,두산,LG,잠실,23750.00000,"20250715","20250715"
1510,"20250506","2025","05","06",KBO,정규리그,KT,NC,수원,9743.00000,"20250715","20250715"
1511,"20250506","2025","05","06",KBO,정규리그,롯데,SSG,사직,22669.00000,"20250715","20250715"
1512,"20250506","2025","05","06",KBO,정규리그,한화,삼성,대전(신),17000.00000,"20250715","20250715"
1513,"20250507","2025","05","07",KBO,정규리그,키움,KIA,고척,16000.00000,"20250715","20250715"
1514,"20250507","2025","05","07",KBO,정규리그,두산,LG,잠실,23750.00000,"20250715","20250715"
1515,"20250507","2025","05","07",KBO,정규리그,KT,NC,수원,3598.00000,"20250715","20250715"
1516,"20250507","2025","05","07",KBO,정규리그,롯데,SSG,사직,22669.00000,"20250715","20250715"
1517,"20250507","2025","05","07",KBO,정규리그,한화,삼성,대전(신),17000.00000,"20250715","20250715"
1518,"20250509","2025","05","09",KBO,정규리그,키움,한화,고척,16000.00000,"20250715","20250715"
1519,"20250510","2025","05","10",KBO,정규리그,키움,한화,고척,16000.00000,"20250715","20250715"
1520,"20250510","2025","05","10",KBO,정규리그,SSG,KIA,문학,23000.00000,"20250715","20250715"
1521,"20250510","2025","05","10",KBO,정규리그,삼성,LG,대구,24000.00000,"20250715","20250715"
1522,"20250510","2025","05","10",KBO,정규리그,삼성,LG,대구,24000.00000,"20250715","20250715"
1523,"20250510","2025","05","10",KBO,정규리그,KT,롯데,수원,18700.00000,"20250715","20250715"
1524,"20250510","2025","05","10",KBO,정규리그,두산,NC,잠실,20206.00000,"20250715","20250715"
1525,"20250511","2025","05","11",KBO,정규리그,키움,한화,고척,16000.00000,"20250715","20250715"
1526,"20250511","2025","05","11",KBO,정규리그,SSG,KIA,문학,23000.00000,"20250715","20250715"
1527,"20250511","2025","05","11",KBO,정규리그,SSG,KIA,문학,23000.00000,"20250715","20250715"
1528,"20250511","2025","05","11",KBO,정규리그,삼성,LG,대구,24000.00000,"20250715","20250715"
1529,"20250511","2025","05","11",KBO,정규리그,KT,롯데,수원,18700.00000,"20250715","20250715"
1530,"20250511","2025","05","11",KBO,정규리그,KT,롯데,수원,14470.00000,"20250715","20250715"
1531,"20250511","2025","05","11",KBO,정규리그,두산,NC,잠실,19366.00000,"20250715","20250715"
1532,"20250511","2025","05","11",KBO,정규리그,두산,NC,잠실,9172.00000,"20250715","20250715"
1533,"20250513","2025","05","13",KBO,정규리그,삼성,KT,포항,10758.00000,"20250715","20250715"
1534,"20250513","2025","05","13",KBO,정규리그,KIA,롯데,광주,16824.00000,"20250715","20250715"
1535,"20250513","2025","05","13",KBO,정규리그,SSG,NC,문학,12746.00000,"20250715","20250715"
1536,"20250513","2025","05","13",KBO,정규리그,한화,두산,대전(신),17000.00000,"20250715","20250715"
1537,"20250513","2025","05","13",KBO,정규리그,LG,키움,잠실,18080.00000,"20250715","20250715"
1538,"20250514","2025","05","14",KBO,정규리그,삼성,KT,포항,12120.00000,"20250715","20250715"
1539,"20250514","2025","05","14",KBO,정규리그,KIA,롯데,광주,18641.00000,"20250715","20250715"
1540,"20250514","2025","05","14",KBO,정규리그,SSG,NC,문학,11409.00000,"20250715","20250715"
1541,"20250514","2025","05","14",KBO,정규리그,한화,두산,대전(신),17000.00000,"20250715","20250715"
1542,"20250514","2025","05","14",KBO,정규리그,LG,키움,잠실,18286.00000,"20250715","20250715"
1543,"20250515","2025","05","15",KBO,정규리그,삼성,KT,포항,12120.00000,"20250715","20250715"
1544,"20250515","2025","05","15",KBO,정규리그,KIA,롯데,광주,17452.00000,"20250715","20250715"
1545,"20250515","2025","05","15",KBO,정규리그,SSG,NC,문학,10081.00000,"20250715","20250715"
1546,"20250515","2025","05","15",KBO,정규리그,한화,두산,대전(신),17000.00000,"20250715","20250715"
1547,"20250515","2025","05","15",KBO,정규리그,LG,키움,잠실,18119.00000,"20250715","20250715"
1548,"20250517","2025","05","17",KBO,정규리그,LG,KT,잠실,22963.00000,"20250715","20250715"
1549,"20250517","2025","05","17",KBO,정규리그,LG,KT,잠실,17811.00000,"20250715","20250715"
1550,"20250517","2025","05","17",KBO,정규리그,KIA,두산,광주,16854.00000,"20250715","20250715"
1551,"20250517","2025","05","17",KBO,정규리그,KIA,두산,광주,20500.00000,"20250715","20250715"
1552,"20250517","2025","05","17",KBO,정규리그,한화,SSG,대전(신),17000.00000,"20250715","20250715"
1553,"20250517","2025","05","17",KBO,정규리그,한화,SSG,대전(신),17000.00000,"20250715","20250715"
1554,"20250517","2025","05","17",KBO,정규리그,롯데,삼성,사직,22669.00000,"20250715","20250715"
1555,"20250517","2025","05","17",KBO,정규리그,롯데,삼성,사직,22669.00000,"20250715","20250715"
