"MATCH_SEQ_NO","LEA_NM","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
173,K리그1,"20230527",제주,수원,제주 월드컵,6308.00000
174,K리그1,"20230305",강원,울산,춘천 송암,6199.00000
175,K리그1,"20231001",제주,광주,제주 월드컵,6130.00000
176,K리그1,"20230611",강원,전북,춘천 송암,6114.00000
177,K리그2,"20230701",부천,김천,부천 종합,6103.00000
178,K리그1,"20231111",제주,서울,제주 월드컵,6039.00000
179,K리그1,"20230312",인천,제주,인천 전용,6007.00000
180,K리그1,"20231008",광주,강원,광주 전용,6004.00000
181,K리그2,"20230305",안양,서울E,안양 종합,6003.00000
182,K리그1,"20230624",광주,전북,광주 전용,5990.00000
183,K리그1,"20230702",광주,울산,광주 전용,5982.00000
184,K리그1,"20230818",인천,광주,인천 전용,5870.00000
185,K리그1,"20231203",광주,포항,광주 전용,5817.00000
186,K리그1,"20230429",수원FC,서울,수원 종합,5806.00000
187,K리그2,"20231126",부산,충북청주,부산 아시아드,5764.00000
188,K리그1,"20230624",제주,대전,제주 월드컵,5755.00000
189,K리그2,"20231111",서울E,성남,목동 종합,5689.00000
190,K리그1,"20230429",전북,강원,전주 월드컵,5685.00000
191,K리그2,"20230916",서울E,천안,목동 종합,5647.00000
192,K리그1,"20230603",제주,강원,제주 월드컵,5616.00000
193,K리그1,"20231021",광주,울산,광주 전용,5553.00000
194,K리그1,"20230513",강원,수원,춘천 송암,5519.00000
195,K리그1,"20230812",제주,수원FC,제주 월드컵,5443.00000
196,K리그1,"20230702",포항,수원FC,포항 스틸야드,5441.00000
197,K리그2,"20231001",경남,부산,창원 축구센터,5437.00000
198,K리그1,"20231029",수원FC,서울,수원 종합,5372.00000
199,K리그1,"20230425",인천,울산,인천 전용,5326.00000
200,K리그1,"20230509",울산,강원,울산 문수,5318.00000
201,K리그1,"20230506",제주,포항,제주 월드컵,5261.00000
202,K리그1,"20231028",강원,제주,강릉하이원아레나,5256.00000
203,K리그1,"20230415",수원,제주,수원 월드컵,5190.00000
204,K리그1,"20230702",인천,강원,인천 전용,5076.00000
205,K리그1,"20230426",전북,대전,전주 월드컵,5067.00000
206,K리그1,"20230827",광주,수원,광주 전용,5014.00000
207,K리그1,"20231020",포항,인천,포항 스틸야드,4944.00000
208,K리그2,"20231001",충북청주,부천,청주 종합,4930.00000
209,K리그2,"20230301",전남,안양,광양 전용,4890.00000
210,K리그1,"20231022",제주,수원,제주 월드컵,4875.00000
211,K리그2,"20230917",경남,전남,창원 축구센터,4808.00000
