MATCH_SEQ_NO,HOME_TEAM_NM,LEA_NM,STDM_NM,MATCH_DE,SPORTS_VIEWNG_NMPR_CO
447,KGC,정규경기,안양 정관장 아레나,20231222,2216.0
448,KGC,정규경기,안양 정관장 아레나,20231224,4015.0
449,KGC,정규경기,안양 정관장 아레나,20231230,2511.0
450,KGC,정규경기,안양 정관장 아레나,20231231,2782.0
451,KGC,정규경기,안양 정관장 아레나,20240102,1435.0
452,KGC,정규경기,안양 정관장 아레나,20240119,1724.0
453,KGC,정규경기,안양 정관장 아레나,20240121,3231.0
454,KGC,정규경기,안양 정관장 아레나,20240204,3084.0
455,KGC,정규경기,안양 정관장 아레나,20240211,3006.0
456,KGC,정규경기,안양 정관장 아레나,20240215,1372.0
457,KGC,정규경기,안양 정관장 아레나,20240303,2781.0
458,KGC,정규경기,안양 정관장 아레나,20240313,1003.0
459,KGC,정규경기,안양 정관장 아레나,20240314,1025.0
460,KGC,정규경기,안양 정관장 아레나,20240316,2590.0
461,KGC,정규경기,안양 정관장 아레나,20240321,2015.0
462,KCC,정규경기,부산사직,20231022,8780.0
463,KCC,정규경기,부산사직,20231117,4052.0
464,KCC,정규경기,부산사직,20231125,5272.0
465,KCC,정규경기,부산사직,20231127,2071.0
466,KCC,정규경기,부산사직,20231130,3050.0
467,KCC,정규경기,부산사직,20231203,3799.0
468,KCC,정규경기,부산사직,20231212,1684.0
469,KCC,정규경기,부산사직,20231215,2367.0
470,KCC,정규경기,부산사직,20231217,3972.0
471,KCC,정규경기,부산사직,20240103,2577.0
472,KCC,정규경기,부산사직,20240107,5014.0
473,KCC,정규경기,부산사직,20240109,2005.0
474,KCC,정규경기,부산사직,20240111,3085.0
475,KCC,정규경기,부산사직,20240117,2706.0
476,KCC,정규경기,부산사직,20240119,4044.0
477,KCC,정규경기,부산사직,20240129,2143.0
478,KCC,정규경기,부산사직,20240202,2404.0
479,KCC,정규경기,부산사직,20240208,3745.0
480,KCC,정규경기,부산사직,20240212,4502.0
481,KCC,정규경기,부산사직,20240229,2906.0
482,KCC,정규경기,부산사직,20240302,5317.0
483,KCC,정규경기,부산사직,20240317,4714.0
484,KCC,정규경기,부산사직,20240320,1316.0
485,KCC,정규경기,부산사직,20240322,2613.0
486,KCC,정규경기,부산사직,20240326,1017.0
487,KCC,정규경기,부산사직,20240329,1790.0
488,KCC,정규경기,부산사직,20240331,3736.0
489,KCC,플레이오프,부산사직,20240408,4525.0
490,KCC,플레이오프,부산사직,20240419,5532.0
491,KCC,플레이오프,부산사직,20240421,6791.0
492,KCC,챔피언결정전,부산사직,20240501,10496.0
493,KCC,챔피언결정전,부산사직,20240503,11217.0
494,KT,정규경기,수원 KT 아레나,20231028,2939.0
495,KT,정규경기,수원 KT 아레나,20231030,923.0
496,KT,정규경기,수원 KT 아레나,20231106,911.0
497,KT,정규경기,수원 KT 아레나,20231109,817.0
498,KT,정규경기,수원 KT 아레나,20231111,2108.0
499,KT,정규경기,수원 KT 아레나,20231118,3290.0
500,KT,정규경기,수원 KT 아레나,20231121,1504.0
501,KT,정규경기,수원 KT 아레나,20231126,2561.0
502,KT,정규경기,수원 KT 아레나,20231128,1328.0
503,KT,정규경기,수원 KT 아레나,20231205,1242.0
