"MATCH_SEQ_NO","MATCH_DE","LEA_NM","STDM_NM","HOME_TEAM_NM","AWAY_TEAM_NM"
151,"20250227",정규시즌,원주종합체육관,DB,한국가스공사
152,"20250227",정규시즌,창원체육관,LG,삼성
153,"20250228",정규시즌,부산사직체육관,KCC,KT
154,"20250228",정규시즌,울산동천체육관,현대모비스,SK
155,"20250101",정규시즌,수원 KT 아레나,KT,KCC
156,"20250101",정규시즌,창원체육관,LG,SK
157,"20250101",정규시즌,안양 정관장 아레나,KGC,소노
158,"20250102",정규시즌,잠실실내체육관,삼성,DB
159,"20250103",정규시즌,수원 KT 아레나,KT,KGC
160,"20250103",정규시즌,잠실학생체육관,SK,소노
161,"20250104",정규시즌,울산동천체육관,현대모비스,LG
162,"20250104",정규시즌,잠실실내체육관,삼성,한국가스공사
163,"20250104",정규시즌,부산사직체육관,KCC,DB
164,"20250105",정규시즌,창원체육관,LG,소노
165,"20250105",정규시즌,잠실학생체육관,SK,KT
166,"20250105",정규시즌,안양 정관장 아레나,KGC,한국가스공사
167,"20250106",정규시즌,잠실실내체육관,삼성,KCC
168,"20250107",D리그 1차,이천 LG 챔피언스파크,LG,상무
169,"20250107",D리그 1차,이천 LG 챔피언스파크,KCC,삼성
170,"20250107",정규시즌,잠실학생체육관,SK,한국가스공사
171,"20250108",정규시즌,울산동천체육관,현대모비스,KGC
172,"20250109",정규시즌,잠실실내체육관,삼성,LG
173,"20250109",정규시즌,고양 소노 아레나,소노,KCC
174,"20250110",정규시즌,잠실학생체육관,SK,현대모비스
175,"20250110",정규시즌,대구체육관,한국가스공사,DB
176,"20250111",정규시즌,수원 KT 아레나,KT,삼성
177,"20250111",정규시즌,안양 정관장 아레나,KGC,LG
178,"20250111",정규시즌,고양 소노 아레나,소노,KCC
179,"20250112",정규시즌,원주종합체육관,DB,현대모비스
180,"20250112",정규시즌,안양 정관장 아레나,KGC,한국가스공사
181,"20250112",정규시즌,고양 소노 아레나,소노,SK
182,"20250113",정규시즌,부산사직체육관,KCC,삼성
183,"20250113",정규시즌,수원 KT 아레나,KT,LG
184,"20250114",정규시즌,원주종합체육관,DB,한국가스공사
185,"20250114",정규시즌,잠실학생체육관,SK,KGC
186,"20250115",정규시즌,창원체육관,LG,삼성
187,"20250115",정규시즌,고양 소노 아레나,소노,현대모비스
188,"20250116",정규시즌,잠실학생체육관,SK,DB
189,"20250116",정규시즌,대구체육관,한국가스공사,KT
190,"20250117",D리그 1차,이천 LG 챔피언스파크,KCC,상무
191,"20250117",D리그 1차,이천 LG 챔피언스파크,SK,KT
192,"20250119",올스타게임,부산사직체육관,크블몽 팀,공아지 팀
193,"20250120",D리그 1차,이천 LG 챔피언스파크,한국가스공사,SK
194,"20250120",D리그 1차,이천 LG 챔피언스파크,KT,현대모비스
195,"20250121",D리그 1차,이천 LG 챔피언스파크,SK,LG
196,"20250121",D리그 1차,이천 LG 챔피언스파크,상무,현대모비스
197,"20250122",정규시즌,수원 KT 아레나,KT,삼성
198,"20250122",정규시즌,안양 정관장 아레나,KGC,DB
199,"20250123",D리그 1차,이천 LG 챔피언스파크,한국가스공사,KCC
200,"20250123",정규시즌,울산동천체육관,현대모비스,SK
201,"20250123",정규시즌,창원체육관,LG,소노
202,"20250124",정규시즌,수원 KT 아레나,KT,KGC
203,"20250124",정규시즌,원주종합체육관,DB,삼성
204,"20250125",정규시즌,부산사직체육관,KCC,SK
205,"20250125",정규시즌,창원체육관,LG,현대모비스
206,"20250125",정규시즌,고양 소노 아레나,소노,한국가스공사
207,"20250126",정규시즌,울산동천체육관,현대모비스,KT
208,"20250126",정규시즌,잠실실내체육관,삼성,KGC
209,"20250126",정규시즌,부산사직체육관,KCC,DB
210,"20250127",D리그 1차,이천 LG 챔피언스파크,상무,SK
211,"20250127",D리그 1차,이천 LG 챔피언스파크,LG,삼성
212,"20250128",정규시즌,대구체육관,한국가스공사,KCC
213,"20250128",정규시즌,고양 소노 아레나,소노,KGC
214,"20250129",정규시즌,잠실실내체육관,삼성,SK
215,"20250129",정규시즌,원주종합체육관,DB,KT
216,"20250130",정규시즌,창원체육관,LG,한국가스공사
217,"20250130",정규시즌,울산동천체육관,현대모비스,KCC
218,"20250131",정규시즌,수원 KT 아레나,KT,소노
219,"20241201",정규시즌,잠실학생체육관,SK,KT
220,"20241201",정규시즌,고양 소노 아레나,소노,KCC
221,"20241201",정규시즌,대구체육관,한국가스공사,KGC
222,"20241202",정규시즌,잠실실내체육관,삼성,현대모비스
223,"20241203",D리그 1차,이천 LG 챔피언스파크,LG,SK
224,"20241203",D리그 1차,이천 LG 챔피언스파크,현대모비스,KT
225,"20241203",정규시즌,대구체육관,한국가스공사,소노
226,"20241204",정규시즌,원주종합체육관,DB,KGC
227,"20241205",정규시즌,울산동천체육관,현대모비스,LG
228,"20241205",정규시즌,대구체육관,한국가스공사,삼성
229,"20241206",정규시즌,안양 정관장 아레나,KGC,SK
230,"20241206",정규시즌,고양 소노 아레나,소노,KT
231,"20241207",정규시즌,울산동천체육관,현대모비스,한국가스공사
232,"20241207",정규시즌,잠실실내체육관,삼성,KCC
233,"20241207",정규시즌,창원체육관,LG,DB
234,"20241208",정규시즌,수원 KT 아레나,KT,KCC
235,"20241208",정규시즌,고양 소노 아레나,소노,SK
236,"20241208",정규시즌,울산동천체육관,현대모비스,KGC
237,"20241209",정규시즌,대구체육관,한국가스공사,LG
238,"20241210",정규시즌,부산사직체육관,KCC,SK
239,"20241211",정규시즌,안양 정관장 아레나,KGC,삼성
240,"20241212",정규시즌,대구체육관,한국가스공사,KCC
241,"20241212",정규시즌,울산동천체육관,현대모비스,DB
242,"20241213",정규시즌,고양 소노 아레나,소노,삼성
243,"20241213",정규시즌,안양 정관장 아레나,KGC,LG
244,"20241214",정규시즌,부산사직체육관,KCC,DB
245,"20241214",정규시즌,수원 KT 아레나,KT,한국가스공사
246,"20241214",정규시즌,잠실학생체육관,SK,현대모비스
247,"20241215",정규시즌,부산사직체육관,KCC,LG
248,"20241215",정규시즌,안양 정관장 아레나,KGC,소노
249,"20241215",정규시즌,잠실학생체육관,SK,삼성
250,"20241216",정규시즌,원주종합체육관,DB,KT
251,"20241217",D리그 1차,이천 LG 챔피언스파크,SK,현대모비스
252,"20241217",D리그 1차,이천 LG 챔피언스파크,한국가스공사,상무
253,"20241217",정규시즌,창원체육관,LG,삼성
254,"20241218",정규시즌,고양 소노 아레나,소노,KT
