"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
216,"20230526","2023","05","26",KBO,정규리그,두산,SSG,잠실,10428.00000,"20250716","20250716"
217,"20230527","2023","05","27",KBO,정규리그,NC,한화,창원,9558.00000,"20250716","20250716"
218,"20230527","2023","05","27",KBO,정규리그,삼성,KT,대구,17305.00000,"20250716","20250716"
219,"20230527","2023","05","27",KBO,정규리그,KIA,LG,광주,17931.00000,"20250716","20250716"
220,"20230527","2023","05","27",KBO,정규리그,키움,롯데,고척,16000.00000,"20250716","20250716"
221,"20230528","2023","05","28",KBO,정규리그,삼성,KT,대구,14523.00000,"20250716","20250716"
222,"20230528","2023","05","28",KBO,정규리그,KIA,LG,광주,17015.00000,"20250716","20250716"
223,"20230528","2023","05","28",KBO,정규리그,키움,롯데,고척,16000.00000,"20250716","20250716"
224,"20230530","2023","05","30",KBO,정규리그,KIA,KT,광주,5352.00000,"20250716","20250716"
225,"20230530","2023","05","30",KBO,정규리그,LG,롯데,잠실,20330.00000,"20250716","20250716"
226,"20230530","2023","05","30",KBO,정규리그,NC,두산,창원,3180.00000,"20250716","20250716"
227,"20230530","2023","05","30",KBO,정규리그,SSG,삼성,문학,10232.00000,"20250716","20250716"
228,"20230530","2023","05","30",KBO,정규리그,한화,키움,한밭,4486.00000,"20250716","20250716"
229,"20230531","2023","05","31",KBO,정규리그,KIA,KT,광주,7244.00000,"20250716","20250716"
230,"20230531","2023","05","31",KBO,정규리그,LG,롯데,잠실,21269.00000,"20250716","20250716"
231,"20230531","2023","05","31",KBO,정규리그,NC,두산,창원,4180.00000,"20250716","20250716"
232,"20230531","2023","05","31",KBO,정규리그,SSG,삼성,문학,10745.00000,"20250716","20250716"
233,"20230531","2023","05","31",KBO,정규리그,한화,키움,한밭,4384.00000,"20250716","20250716"
234,"20230601","2023","06","01",KBO,정규리그,LG,롯데,잠실,22020.00000,"20250716","20250716"
235,"20230601","2023","06","01",KBO,정규리그,SSG,삼성,문학,9028.00000,"20250716","20250716"
236,"20230601","2023","06","01",KBO,정규리그,한화,키움,한밭,5040.00000,"20250716","20250716"
237,"20230602","2023","06","02",KBO,정규리그,롯데,KIA,사직,18996.00000,"20250716","20250716"
238,"20230602","2023","06","02",KBO,정규리그,LG,NC,잠실,10238.00000,"20250716","20250716"
239,"20230602","2023","06","02",KBO,정규리그,KT,두산,수원,5157.00000,"20250716","20250716"
240,"20230602","2023","06","02",KBO,정규리그,한화,삼성,한밭,6675.00000,"20250716","20250716"
241,"20230602","2023","06","02",KBO,정규리그,SSG,키움,문학,12533.00000,"20250716","20250716"
242,"20230603","2023","06","03",KBO,정규리그,롯데,KIA,사직,22990.00000,"20250716","20250716"
243,"20230603","2023","06","03",KBO,정규리그,LG,NC,잠실,18890.00000,"20250716","20250716"
244,"20230603","2023","06","03",KBO,정규리그,KT,두산,수원,12155.00000,"20250716","20250716"
245,"20230603","2023","06","03",KBO,정규리그,한화,삼성,한밭,12000.00000,"20250716","20250716"
246,"20230603","2023","06","03",KBO,정규리그,SSG,키움,문학,19071.00000,"20250716","20250716"
247,"20230604","2023","06","04",KBO,정규리그,롯데,KIA,사직,22990.00000,"20250716","20250716"
248,"20230604","2023","06","04",KBO,정규리그,LG,NC,잠실,15096.00000,"20250716","20250716"
249,"20230604","2023","06","04",KBO,정규리그,KT,두산,수원,10239.00000,"20250716","20250716"
250,"20230604","2023","06","04",KBO,정규리그,한화,삼성,한밭,12000.00000,"20250716","20250716"
251,"20230604","2023","06","04",KBO,정규리그,SSG,키움,문학,17007.00000,"20250716","20250716"
252,"20230606","2023","06","06",KBO,정규리그,두산,한화,잠실,21146.00000,"20250716","20250716"
253,"20230606","2023","06","06",KBO,정규리그,롯데,KT,사직,20441.00000,"20250716","20250716"
254,"20230606","2023","06","06",KBO,정규리그,키움,LG,고척,14903.00000,"20250716","20250716"
255,"20230606","2023","06","06",KBO,정규리그,삼성,NC,대구,14639.00000,"20250716","20250716"
256,"20230606","2023","06","06",KBO,정규리그,KIA,SSG,광주,15130.00000,"20250716","20250716"
257,"20230607","2023","06","07",KBO,정규리그,두산,한화,잠실,8497.00000,"20250716","20250716"
258,"20230607","2023","06","07",KBO,정규리그,롯데,KT,사직,10066.00000,"20250716","20250716"
259,"20230607","2023","06","07",KBO,정규리그,키움,LG,고척,5390.00000,"20250716","20250716"
260,"20230607","2023","06","07",KBO,정규리그,삼성,NC,대구,7119.00000,"20250716","20250716"
261,"20230607","2023","06","07",KBO,정규리그,KIA,SSG,광주,7569.00000,"20250716","20250716"
262,"20230608","2023","06","08",KBO,정규리그,두산,한화,잠실,8509.00000,"20250716","20250716"
263,"20230608","2023","06","08",KBO,정규리그,롯데,KT,사직,10504.00000,"20250716","20250716"
264,"20230608","2023","06","08",KBO,정규리그,키움,LG,고척,6076.00000,"20250716","20250716"
265,"20230608","2023","06","08",KBO,정규리그,삼성,NC,대구,5989.00000,"20250716","20250716"
266,"20230608","2023","06","08",KBO,정규리그,KIA,SSG,광주,6646.00000,"20250716","20250716"
267,"20230609","2023","06","09",KBO,정규리그,두산,KIA,잠실,16250.00000,"20250716","20250716"
268,"20230609","2023","06","09",KBO,정규리그,한화,LG,한밭,6005.00000,"20250716","20250716"
269,"20230609","2023","06","09",KBO,정규리그,삼성,롯데,대구,15893.00000,"20250716","20250716"
270,"20230609","2023","06","09",KBO,정규리그,NC,SSG,창원,5110.00000,"20250716","20250716"
271,"20230609","2023","06","09",KBO,정규리그,KT,키움,수원,5033.00000,"20250716","20250716"
272,"20230610","2023","06","10",KBO,정규리그,두산,KIA,잠실,22233.00000,"20250716","20250716"
273,"20230610","2023","06","10",KBO,정규리그,한화,LG,한밭,11072.00000,"20250716","20250716"
274,"20230610","2023","06","10",KBO,정규리그,삼성,롯데,대구,24000.00000,"20250716","20250716"
