MATCH_SEQ_NO,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
284,20230613,SSG,KT,문학,6568.0
285,20230613,NC,두산,창원,3699.0
286,20230613,LG,삼성,잠실,11103.0
287,20230614,롯데,한화,사직,10803.0
288,20230614,키움,KIA,고척,8016.0
289,20230614,SSG,KT,문학,6579.0
290,20230614,NC,두산,창원,3154.0
291,20230614,LG,삼성,잠실,11725.0
292,20230615,롯데,한화,사직,12594.0
293,20230615,키움,KIA,고척,8528.0
294,20230615,SSG,KT,문학,6736.0
295,20230615,NC,두산,창원,3633.0
296,20230615,LG,삼성,잠실,12023.0
297,20230616,SSG,롯데,문학,18013.0
298,20230616,KIA,NC,광주,10170.0
299,20230616,LG,두산,잠실,18826.0
300,20230616,KT,삼성,수원,6998.0
301,20230616,한화,키움,한밭,7005.0
302,20230617,SSG,롯데,문학,23000.0
303,20230617,KIA,NC,광주,15992.0
304,20230617,LG,두산,잠실,22878.0
305,20230617,KT,삼성,수원,14935.0
306,20230617,한화,키움,한밭,11008.0
307,20230618,SSG,롯데,문학,19156.0
308,20230618,KIA,NC,광주,13967.0
309,20230618,LG,두산,잠실,19038.0
310,20230618,KT,삼성,수원,10137.0
311,20230618,한화,키움,한밭,8163.0
312,20230620,한화,KIA,한밭,5451.0
313,20230620,NC,LG,창원,3433.0
314,20230620,KT,롯데,수원,5773.0
315,20230620,두산,SSG,잠실,6186.0
316,20230620,삼성,키움,대구,7667.0
317,20230621,한화,KIA,한밭,5207.0
318,20230621,NC,LG,창원,3571.0
319,20230621,KT,롯데,수원,6024.0
320,20230621,두산,SSG,잠실,5473.0
321,20230621,삼성,키움,대구,7453.0
322,20230622,한화,KIA,한밭,7675.0
323,20230622,NC,LG,창원,4997.0
324,20230622,KT,롯데,수원,7861.0
325,20230622,두산,SSG,잠실,7291.0
326,20230622,삼성,키움,대구,10176.0
327,20230623,NC,한화,창원,6376.0
328,20230623,KIA,KT,광주,9018.0
329,20230623,LG,롯데,잠실,21089.0
330,20230623,키움,두산,고척,7316.0
331,20230623,SSG,삼성,문학,12744.0
332,20230624,NC,한화,창원,13791.0
333,20230624,KIA,KT,광주,14043.0
334,20230624,LG,롯데,잠실,23750.0
335,20230624,키움,두산,고척,11717.0
336,20230624,SSG,삼성,문학,20062.0
337,20230625,LG,롯데,잠실,20846.0
338,20230625,키움,두산,고척,9549.0
339,20230625,SSG,삼성,문학,14722.0
340,20230627,한화,KT,한밭,4625.0
341,20230627,SSG,LG,문학,12244.0
342,20230627,두산,NC,잠실,5302.0
343,20230627,롯데,삼성,사직,11654.0
344,20230627,KIA,키움,광주,5349.0
345,20230628,한화,KT,한밭,5007.0
346,20230628,SSG,LG,문학,11045.0
347,20230628,두산,NC,잠실,5400.0
348,20230628,롯데,삼성,사직,13787.0
349,20230628,KIA,키움,광주,4816.0
350,20230630,삼성,한화,대구,8114.0
351,20230630,LG,KIA,잠실,20568.0
352,20230630,KT,NC,수원,4596.0
353,20230630,롯데,두산,울산,6894.0
354,20230630,키움,SSG,고척,7164.0
355,20230701,삼성,한화,대구,18151.0
356,20230701,LG,KIA,잠실,23750.0
357,20230701,KT,NC,수원,9551.0
358,20230701,롯데,두산,울산,10013.0
359,20230701,키움,SSG,고척,10836.0
360,20230702,삼성,한화,대구,12395.0
361,20230702,LG,KIA,잠실,20959.0
362,20230702,KT,NC,수원,5406.0
363,20230702,롯데,두산,울산,7588.0
364,20230702,키움,SSG,고척,9512.0
365,20230704,키움,NC,고척,4474.0
366,20230704,삼성,두산,포항,4182.0
367,20230705,SSG,KIA,문학,13025.0
368,20230705,LG,KT,잠실,9707.0
369,20230705,한화,롯데,한밭,7760.0
370,20230705,키움,NC,고척,4027.0
371,20230705,삼성,두산,포항,5902.0
372,20230706,SSG,KIA,문학,17513.0
373,20230706,LG,KT,잠실,10736.0
374,20230706,한화,롯데,한밭,10061.0
375,20230706,키움,NC,고척,4013.0
376,20230706,삼성,두산,포항,6923.0
377,20230707,KT,KIA,수원,16315.0
378,20230707,두산,키움,잠실,14123.0
379,20230708,KT,KIA,수원,18700.0
380,20230708,롯데,LG,사직,19496.0
381,20230708,한화,SSG,한밭,12000.0
382,20230708,NC,삼성,창원,12462.0
383,20230708,두산,키움,잠실,19676.0
384,20230709,KT,KIA,수원,18700.0
385,20230709,롯데,LG,사직,15860.0
386,20230709,한화,SSG,한밭,10168.0
387,20230709,NC,삼성,창원,8522.0
388,20230709,두산,키움,잠실,11472.0
389,20230711,키움,KT,고척,4217.0
390,20230712,LG,한화,잠실,17812.0
391,20230712,키움,KT,고척,3890.0
392,20230712,NC,롯데,창원,13074.0
393,20230712,SSG,두산,문학,19699.0
394,20230712,KIA,삼성,광주,8470.0
395,20230713,키움,KT,고척,4520.0
396,20230713,NC,롯데,창원,10316.0
397,20230713,KIA,삼성,광주,7085.0
398,20230721,삼성,KT,대구,7833.0
399,20230721,한화,NC,한밭,8475.0
400,20230721,KIA,두산,광주,9779.0
401,20230721,LG,SSG,잠실,17524.0
402,20230721,롯데,키움,사직,13431.0
403,20230722,삼성,KT,대구,10356.0
404,20230722,한화,NC,한밭,10021.0
405,20230722,롯데,키움,사직,14266.0
406,20230723,삼성,KT,대구,8613.0
407,20230723,롯데,키움,사직,11470.0
408,20230725,키움,한화,고척,9886.0
409,20230725,NC,KIA,창원,5668.0
410,20230725,KT,LG,수원,7948.0
411,20230725,두산,롯데,잠실,12700.0
412,20230725,삼성,SSG,대구,5557.0
413,20230726,키움,한화,고척,11324.0
414,20230726,NC,KIA,창원,6325.0
415,20230726,KT,LG,수원,8134.0
416,20230726,두산,롯데,잠실,13620.0
417,20230726,삼성,SSG,대구,6955.0
418,20230727,키움,한화,고척,11650.0
419,20230727,NC,KIA,창원,7279.0
420,20230727,KT,LG,수원,8413.0
421,20230727,두산,롯데,잠실,12511.0
422,20230727,삼성,SSG,대구,7663.0
423,20230728,SSG,한화,문학,14386.0
424,20230728,NC,KT,창원,4676.0
425,20230728,두산,LG,잠실,16987.0
426,20230728,KIA,롯데,광주,10295.0
427,20230728,키움,삼성,고척,7755.0
