"MATCH_SEQ_NO","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
317,"20230621",한화,KIA,한밭,5207.00000
318,"20230621",NC,LG,창원,3571.00000
319,"20230621",KT,롯데,수원,6024.00000
320,"20230621",두산,SSG,잠실,5473.00000
321,"20230621",삼성,키움,대구,7453.00000
322,"20230622",한화,KIA,한밭,7675.00000
323,"20230622",NC,LG,창원,4997.00000
324,"20230622",KT,롯데,수원,7861.00000
325,"20230622",두산,SSG,잠실,7291.00000
326,"20230622",삼성,키움,대구,10176.00000
327,"20230623",NC,한화,창원,6376.00000
328,"20230623",KIA,KT,광주,9018.00000
329,"20230623",LG,롯데,잠실,21089.00000
330,"20230623",키움,두산,고척,7316.00000
331,"20230623",SSG,삼성,문학,12744.00000
332,"20230624",NC,한화,창원,13791.00000
333,"20230624",KIA,KT,광주,14043.00000
334,"20230624",LG,롯데,잠실,23750.00000
335,"20230624",키움,두산,고척,11717.00000
336,"20230624",SSG,삼성,문학,20062.00000
337,"20230625",LG,롯데,잠실,20846.00000
338,"20230625",키움,두산,고척,9549.00000
339,"20230625",SSG,삼성,문학,14722.00000
340,"20230627",한화,KT,한밭,4625.00000
341,"20230627",SSG,LG,문학,12244.00000
342,"20230627",두산,NC,잠실,5302.00000
343,"20230627",롯데,삼성,사직,11654.00000
344,"20230627",KIA,키움,광주,5349.00000
345,"20230628",한화,KT,한밭,5007.00000
346,"20230628",SSG,LG,문학,11045.00000
347,"20230628",두산,NC,잠실,5400.00000
348,"20230628",롯데,삼성,사직,13787.00000
349,"20230628",KIA,키움,광주,4816.00000
350,"20230630",삼성,한화,대구,8114.00000
351,"20230630",LG,KIA,잠실,20568.00000
352,"20230630",KT,NC,수원,4596.00000
353,"20230630",롯데,두산,울산,6894.00000
354,"20230630",키움,SSG,고척,7164.00000
355,"20230701",삼성,한화,대구,18151.00000
356,"20230701",LG,KIA,잠실,23750.00000
357,"20230701",KT,NC,수원,9551.00000
358,"20230701",롯데,두산,울산,10013.00000
359,"20230701",키움,SSG,고척,10836.00000
360,"20230702",삼성,한화,대구,12395.00000
361,"20230702",LG,KIA,잠실,20959.00000
362,"20230702",KT,NC,수원,5406.00000
363,"20230702",롯데,두산,울산,7588.00000
364,"20230702",키움,SSG,고척,9512.00000
365,"20230704",키움,NC,고척,4474.00000
366,"20230704",삼성,두산,포항,4182.00000
367,"20230705",SSG,KIA,문학,13025.00000
368,"20230705",LG,KT,잠실,9707.00000
369,"20230705",한화,롯데,한밭,7760.00000
370,"20230705",키움,NC,고척,4027.00000
371,"20230705",삼성,두산,포항,5902.00000
372,"20230706",SSG,KIA,문학,17513.00000
373,"20230706",LG,KT,잠실,10736.00000
374,"20230706",한화,롯데,한밭,10061.00000
375,"20230706",키움,NC,고척,4013.00000
376,"20230706",삼성,두산,포항,6923.00000
377,"20230707",KT,KIA,수원,16315.00000
378,"20230707",두산,키움,잠실,14123.00000
379,"20230708",KT,KIA,수원,18700.00000
380,"20230708",롯데,LG,사직,19496.00000
381,"20230708",한화,SSG,한밭,12000.00000
382,"20230708",NC,삼성,창원,12462.00000
383,"20230708",두산,키움,잠실,19676.00000
384,"20230709",KT,KIA,수원,18700.00000
385,"20230709",롯데,LG,사직,15860.00000
386,"20230709",한화,SSG,한밭,10168.00000
387,"20230709",NC,삼성,창원,8522.00000
388,"20230709",두산,키움,잠실,11472.00000
389,"20230711",키움,KT,고척,4217.00000
390,"20230712",LG,한화,잠실,17812.00000
391,"20230712",키움,KT,고척,3890.00000
392,"20230712",NC,롯데,창원,13074.00000
393,"20230712",SSG,두산,문학,19699.00000
394,"20230712",KIA,삼성,광주,8470.00000
395,"20230713",키움,KT,고척,4520.00000
396,"20230713",NC,롯데,창원,10316.00000
397,"20230713",KIA,삼성,광주,7085.00000
398,"20230721",삼성,KT,대구,7833.00000
399,"20230721",한화,NC,한밭,8475.00000
400,"20230721",KIA,두산,광주,9779.00000
401,"20230721",LG,SSG,잠실,17524.00000
402,"20230721",롯데,키움,사직,13431.00000
403,"20230722",삼성,KT,대구,10356.00000
404,"20230722",한화,NC,한밭,10021.00000
405,"20230722",롯데,키움,사직,14266.00000
406,"20230723",삼성,KT,대구,8613.00000
407,"20230723",롯데,키움,사직,11470.00000
408,"20230725",키움,한화,고척,9886.00000
409,"20230725",NC,KIA,창원,5668.00000
410,"20230725",KT,LG,수원,7948.00000
411,"20230725",두산,롯데,잠실,12700.00000
412,"20230725",삼성,SSG,대구,5557.00000
413,"20230726",키움,한화,고척,11324.00000
414,"20230726",NC,KIA,창원,6325.00000
415,"20230726",KT,LG,수원,8134.00000
416,"20230726",두산,롯데,잠실,13620.00000
417,"20230726",삼성,SSG,대구,6955.00000
418,"20230727",키움,한화,고척,11650.00000
419,"20230727",NC,KIA,창원,7279.00000
420,"20230727",KT,LG,수원,8413.00000
421,"20230727",두산,롯데,잠실,12511.00000
422,"20230727",삼성,SSG,대구,7663.00000
423,"20230728",SSG,한화,문학,14386.00000
424,"20230728",NC,KT,창원,4676.00000
425,"20230728",두산,LG,잠실,16987.00000
426,"20230728",KIA,롯데,광주,10295.00000
427,"20230728",키움,삼성,고척,7755.00000
428,"20230729",SSG,한화,문학,21344.00000
429,"20230729",NC,KT,창원,8309.00000
430,"20230729",두산,LG,잠실,21126.00000
431,"20230729",KIA,롯데,광주,14754.00000
