"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
132,"20250406","2025","04","06",KBO,정규리그,삼성,한화,대구,24000.00000,"20250715","20250715"
133,"20231112","2023","11","12",KLEAGUE,K리그1,인천,전북,인천 전용,11912.00000,"20250715","20250715"
134,"20250406","2025","04","06",KBO,정규리그,LG,KIA,잠실,23750.00000,"20250715","20250715"
135,"20250406","2025","04","06",KBO,정규리그,SSG,KT,문학,18679.00000,"20250715","20250715"
136,"20230924","2023","09","24",KLEAGUE,K리그1,대구,포항,대구iM뱅크PARK,11858.00000,"20250715","20250715"
137,"20250406","2025","04","06",KBO,정규리그,키움,NC,고척,7041.00000,"20250715","20250715"
138,"20231008","2023","10","08",KLEAGUE,K리그1,수원,포항,수원 월드컵,11772.00000,"20250715","20250715"
139,"20250406","2025","04","06",KBO,정규리그,롯데,두산,사직,22665.00000,"20250715","20250715"
140,"20250408","2025","04","08",KBO,정규리그,두산,한화,잠실,20986.00000,"20250715","20250715"
141,"20230527","2023","05","27",KLEAGUE,K리그1,대구,인천,대구iM뱅크PARK,11706.00000,"20250715","20250715"
142,"20250408","2025","04","08",KBO,정규리그,롯데,KIA,사직,14038.00000,"20250715","20250715"
143,"20231029","2023","10","29",KLEAGUE,K리그1,수원,대전,수원 월드컵,11658.00000,"20250715","20250715"
144,"20250408","2025","04","08",KBO,정규리그,키움,LG,고척,10452.00000,"20250715","20250715"
145,"20231022","2023","10","22",KLEAGUE,K리그1,서울,강원,서울 월드컵,11638.00000,"20250715","20250715"
146,"20250408","2025","04","08",KBO,정규리그,KT,NC,수원,5233.00000,"20250715","20250715"
147,"20230610","2023","06","10",KLEAGUE,K리그1,대구,수원FC,대구iM뱅크PARK,11457.00000,"20250715","20250715"
148,"20250408","2025","04","08",KBO,정규리그,삼성,SSG,대구,19327.00000,"20250715","20250715"
149,"20250409","2025","04","09",KBO,정규리그,두산,한화,잠실,19300.00000,"20250715","20250715"
150,"20231125","2023","11","25",KLEAGUE,K리그1,전북,광주,전주 월드컵,11369.00000,"20250715","20250715"
151,"20250409","2025","04","09",KBO,정규리그,롯데,KIA,사직,13551.00000,"20250715","20250715"
152,"20230825","2023","08","25",KLEAGUE,K리그1,전북,대전,전주 월드컵,11224.00000,"20250715","20250715"
153,"20250409","2025","04","09",KBO,정규리그,키움,LG,고척,9967.00000,"20250715","20250715"
154,"20250409","2025","04","09",KBO,정규리그,KT,NC,수원,3667.00000,"20250715","20250715"
155,"20230722","2023","07","22",KLEAGUE,K리그1,강원,수원,강릉하이원아레나,11084.00000,"20250715","20250715"
156,"20250409","2025","04","09",KBO,정규리그,삼성,SSG,대구,20632.00000,"20250715","20250715"
157,"20230917","2023","09","17",KLEAGUE,K리그1,수원,대구,수원 월드컵,11048.00000,"20250715","20250715"
158,"20250410","2025","04","10",KBO,정규리그,두산,한화,잠실,21561.00000,"20250715","20250715"
159,"20250410","2025","04","10",KBO,정규리그,롯데,KIA,사직,13726.00000,"20250715","20250715"
160,"20230716","2023","07","16",KLEAGUE,K리그1,전북,수원FC,전주 월드컵,10905.00000,"20250715","20250715"
161,"20250410","2025","04","10",KBO,정규리그,키움,LG,고척,10627.00000,"20250715","20250715"
162,"20230304","2023","03","04",KLEAGUE,K리그1,대구,제주,대구iM뱅크PARK,10851.00000,"20250715","20250715"
163,"20250410","2025","04","10",KBO,정규리그,KT,NC,수원,5086.00000,"20250715","20250715"
164,"20231008","2023","10","08",KLEAGUE,K리그1,대구,수원FC,대구iM뱅크PARK,10776.00000,"20250715","20250715"
165,"20250410","2025","04","10",KBO,정규리그,삼성,SSG,대구,21291.00000,"20250715","20250715"
166,"20230916","2023","09","16",KLEAGUE,K리그1,전북,강원,전주 월드컵,10620.00000,"20250715","20250715"
167,"20250411","2025","04","11",KBO,정규리그,NC,롯데,사직,13728.00000,"20250715","20250715"
168,"20250411","2025","04","11",KBO,정규리그,LG,두산,잠실,23750.00000,"20250715","20250715"
169,"20230819","2023","08","19",KLEAGUE,K리그1,강원,수원FC,강릉하이원아레나,10503.00000,"20250715","20250715"
170,"20250411","2025","04","11",KBO,정규리그,KIA,SSG,광주,20500.00000,"20250715","20250715"
171,"20230722","2023","07","22",KLEAGUE,K리그1,대전,대구,대전 월드컵,10473.00000,"20250715","20250715"
172,"20250411","2025","04","11",KBO,정규리그,KT,삼성,수원,17416.00000,"20250715","20250715"
173,"20230319","2023","03","19",KLEAGUE,K리그1,수원,대전,수원 월드컵,10442.00000,"20250715","20250715"
174,"20250411","2025","04","11",KBO,정규리그,한화,키움,대전(신),17000.00000,"20250715","20250715"
175,"20230712","2023","07","12",KLEAGUE,K리그1,서울,수원FC,서울 월드컵,10407.00000,"20250715","20250715"
176,"20250412","2025","04","12",KBO,정규리그,NC,롯데,사직,15222.00000,"20250715","20250715"
177,"20250412","2025","04","12",KBO,정규리그,LG,두산,잠실,22938.00000,"20250715","20250715"
178,"20230225","2023","02","25",KLEAGUE,K리그1,수원,광주,수원 월드컵,10348.00000,"20250715","20250715"
179,"20250412","2025","04","12",KBO,정규리그,한화,키움,대전(신),15457.00000,"20250715","20250715"
180,"20230806","2023","08","06",KLEAGUE,K리그1,전북,인천,전주 월드컵,10327.00000,"20250715","20250715"
181,"20250413","2025","04","13",KBO,정규리그,NC,롯데,사직,21003.00000,"20250715","20250715"
182,"20230422","2023","04","22",KLEAGUE,K리그1,대구,대전,대구iM뱅크PARK,10236.00000,"20250715","20250715"
183,"20250413","2025","04","13",KBO,정규리그,LG,두산,잠실,23750.00000,"20250715","20250715"
184,"20230509","2023","05","09",KLEAGUE,K리그1,서울,광주,서울 월드컵,10236.00000,"20250715","20250715"
185,"20250413","2025","04","13",KBO,정규리그,KIA,SSG,광주,20500.00000,"20250715","20250715"
186,"20231202","2023","12","02",KLEAGUE,K리그1,대전,서울,대전 월드컵,10176.00000,"20250715","20250715"
187,"20250413","2025","04","13",KBO,정규리그,KT,삼성,수원,18700.00000,"20250715","20250715"
188,"20231209","2023","12","09",KLEAGUE,플레이오프,강원,김포,강릉하이원아레나,10130.00000,"20250715","20250715"
189,"20250413","2025","04","13",KBO,정규리그,한화,키움,대전(신),17000.00000,"20250715","20250715"
190,"20250415","2025","04","15",KBO,정규리그,SSG,한화,문학,15618.00000,"20250715","20250715"
191,"20230924","2023","09","24",KLEAGUE,K리그1,강원,인천,강릉하이원아레나,10047.00000,"20250715","20250715"
192,"20250415","2025","04","15",KBO,정규리그,KIA,KT,광주,10979.00000,"20250715","20250715"
193,"20230423","2023","04","23",KLEAGUE,K리그1,제주,전북,제주 월드컵,10041.00000,"20250715","20250715"
