MATCH_SEQ_NO,LEA_NM,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
448,K리그2,20230506,충북청주,천안,청주 종합,837.0
449,K리그2,20230610,김천,안산,김천 종합,837.0
450,K리그2,20230418,경남,안양,창원 축구센터,820.0
451,K리그2,20230830,성남,김포,탄천 종합,803.0
452,K리그2,20230402,천안,전남,천안 종합,762.0
453,K리그2,20230418,충북청주,충남아산,청주 종합,762.0
454,K리그2,20230409,충남아산,부산,아산 이순신,758.0
455,K리그2,20230528,안산,서울E,안산 와스타디움,709.0
456,K리그2,20230503,안산,김천,안산 와스타디움,702.0
457,K리그2,20230730,안산,천안,안산 와스타디움,699.0
458,K리그2,20230916,안산,충북청주,안산 와스타디움,694.0
459,K리그2,20230312,천안,부천,천안 종합,675.0
460,K리그2,20230919,성남,김천,탄천 종합,647.0
461,K리그2,20230415,김천,부천,김천 종합,627.0
462,K리그2,20230723,천안,성남,천안 종합,580.0
463,K리그2,20230419,천안,안산,천안 종합,566.0
464,K리그2,20230920,충남아산,전남,아산 이순신,515.0
465,K리그2,20230920,천안,부천,천안 종합,433.0
466,K리그2,20230829,안산,부천,안산 와스타디움,422.0
467,K리그2,20230808,안산,충북청주,안산 와스타디움,385.0
468,K리그2,20230419,김천,전남,김천 종합,359.0
469,K리그1,20240504,서울,울산,서울 월드컵,52600.0
470,K리그1,20240310,서울,인천,서울 월드컵,51670.0
471,K리그1,20241110,서울,울산,서울 월드컵,37288.0
472,K리그1,20240824,서울,강원,서울 월드컵,34086.0
473,K리그1,20240929,서울,수원FC,서울 월드컵,31037.0
474,K리그1,20240316,서울,제주,서울 월드컵,29536.0
475,K리그1,20241102,서울,포항,서울 월드컵,29377.0
476,K리그1,20240413,서울,포항,서울 월드컵,29051.0
477,K리그1,20240601,울산,전북,울산 문수,29007.0
478,K리그1,20240301,울산,포항,울산 문수,28683.0
479,K리그1,20240420,서울,전북,서울 월드컵,28048.0
480,K리그1,20240519,서울,대구,서울 월드컵,27365.0
481,K리그1,20240914,서울,대전,서울 월드컵,26790.0
482,K리그1,20240330,전북,울산,전주 월드컵,25782.0
483,K리그1,20240622,서울,수원FC,서울 월드컵,25157.0
484,K리그1,20240301,전북,대전,전주 월드컵,24758.0
485,K리그1,20241006,울산,김천,울산 문수,24417.0
486,K리그1,20241123,울산,수원FC,울산 문수,24096.0
487,K리그1,20240616,울산,서울,울산 문수,23856.0
488,플레이오프,20241208,전북,서울E,전주 월드컵,23722.0
489,K리그1,20240901,전북,서울,전주 월드컵,22749.0
490,K리그1,20240831,울산,포항,울산 문수,22106.0
491,K리그1,20240913,울산,강원,울산 문수,22010.0
492,K리그1,20240928,전북,제주,전주 월드컵,21386.0
493,K리그1,20240602,서울,광주,서울 월드컵,21100.0
494,K리그1,20240713,울산,서울,울산 문수,21064.0
495,K리그1,20240428,울산,제주,울산 문수,20253.0
496,K리그1,20241110,전북,대구,전주 월드컵,18985.0
497,K리그1,20240721,서울,김천,서울 월드컵,18577.0
498,K리그1,20240720,전북,울산,전주 월드컵,18573.0
499,K리그1,20240922,대전,전북,대전 월드컵,18473.0
500,K리그1,20241019,전북,대전,전주 월드컵,18261.0
501,K리그1,20241102,전북,인천,전주 월드컵,18244.0
502,K리그1,20240816,서울,제주,서울 월드컵,18029.0
503,K리그1,20240810,울산,대구,울산 문수,17372.0
504,K리그1,20240316,대전,강원,대전 월드컵,17191.0
505,K리그1,20240512,울산,김천,울산 문수,16394.0
506,K리그1,20240824,인천,전북,인천 전용,15422.0
507,K리그2,20241103,수원,안산,용인 미르,15308.0
508,K리그1,20240317,울산,인천,울산 문수,15233.0
509,K리그1,20240727,인천,서울,인천 전용,15213.0
510,K리그1,20240809,전북,광주,전주 월드컵,15178.0
511,K리그1,20240302,인천,수원FC,인천 전용,15060.0
512,K리그1,20240710,서울,대전,서울 월드컵,15037.0
513,K리그2,20240720,수원,충북청주,수원 월드컵,14866.0
514,K리그1,20240817,전북,포항,전주 월드컵,14814.0
515,K리그1,20240525,울산,대전,울산 문수,14676.0
516,K리그1,20241110,인천,대전,인천 전용,14633.0
517,K리그1,20240511,인천,서울,인천 전용,14435.0
518,K리그1,20241006,인천,강원,인천 전용,14434.0
519,K리그1,20240406,울산,수원FC,울산 문수,14215.0
520,K리그2,20240303,수원,충남아산,수원 월드컵,14196.0
521,K리그1,20240922,인천,울산,인천 전용,13888.0
522,K리그1,20240413,울산,강원,울산 문수,13874.0
